"date, price"
"2020-02-06","30.000000"
"2020-02-07","30.920000"
"2020-02-10","31.889999"
"2020-02-11","32.869999"
"2020-02-12","32.250000"
"2020-02-13","31.860001"
"2020-02-14","31.549999"
"2020-02-18","31.040001"
"2020-02-19","31.639999"
"2020-02-20","31.010000"
"2020-02-21","30.879999"
"2020-02-24","29.980000"
"2020-02-25","28.440001"
"2020-02-26","28.809999"
"2020-02-27","28.559999"
"2020-02-28","27.879999"
"2020-03-02","26.950001"
"2020-03-03","27.500000"
"2020-03-04","28.600000"
"2020-03-05","29.010000"
"2020-03-06","28.600000"
"2020-03-09","26.809999"
"2020-03-10","27.250000"
"2020-03-11","25.760000"
"2020-03-12","21.650000"
"2020-03-13","23.000000"
"2020-03-16","18.510000"
"2020-03-17","17.870001"
"2020-03-18","14.000000"
"2020-03-19","14.340000"
"2020-03-20","14.520000"
"2020-03-23","14.020000"
"2020-03-24","15.940000"
"2020-03-25","17.500000"
"2020-03-26","19.910000"
"2020-03-27","17.000000"
"2020-03-30","17.959999"
"2020-03-31","17.809999"
"2020-04-01","16.580000"
"2020-04-02","16.770000"
"2020-04-03","16.790001"
"2020-04-06","18.920000"
"2020-04-07","19.850000"
"2020-04-08","20.809999"
"2020-04-09","23.200001"
"2020-04-13","23.139999"
"2020-04-14","23.100000"
"2020-04-15","22.580000"
"2020-04-16","22.000000"
"2020-04-17","22.250000"
"2020-04-20","22.870001"
"2020-04-21","22.020000"
"2020-04-22","22.530001"
"2020-04-23","23.080000"
"2020-04-24","22.510000"
"2020-04-27","22.100000"
"2020-04-28","23.500000"
"2020-04-29","23.950001"
"2020-04-30","23.900000"
"2020-05-01","22.719999"
"2020-05-04","23.870001"
"2020-05-05","23.920000"
"2020-05-06","24.430000"
"2020-05-07","26.490000"
"2020-05-08","27.440001"
"2020-05-11","27.490000"
"2020-05-12","26.930000"
"2020-05-13","26.820000"
"2020-05-14","26.180000"
"2020-05-15","27.510000"
"2020-05-18","27.600000"
"2020-05-19","26.389999"
"2020-05-20","27.799999"
"2020-05-21","27.660000"
"2020-05-22","27.270000"
