"date, price"
"2014-12-04","73.339996"
"2014-12-05","73.370003"
"2014-12-08","72.610001"
"2014-12-09","73.010002"
"2014-12-10","71.500000"
"2014-12-11","71.989998"
"2014-12-12","70.580002"
"2014-12-15","70.370003"
"2014-12-16","70.309998"
"2014-12-17","72.209999"
"2014-12-18","73.360001"
"2014-12-19","73.430000"
"2014-12-22","74.559998"
"2014-12-23","74.599998"
"2014-12-24","74.660004"
"2014-12-26","75.620003"
"2014-12-29","74.989998"
"2014-12-30","75.019997"
"2014-12-31","74.330002"
"2015-01-02","74.279999"
"2015-01-05","73.930000"
"2015-01-06","72.879997"
"2015-01-07","73.730003"
"2015-01-08","74.510002"
"2015-01-09","74.419998"
"2015-01-12","73.570000"
"2015-01-13","72.970001"
"2015-01-14","72.220001"
"2015-01-15","71.379997"
"2015-01-16","71.290001"
"2015-01-20","72.480003"
"2015-01-21","71.589996"
"2015-01-22","71.910004"
"2015-01-23","72.180000"
"2015-01-26","72.610001"
"2015-01-27","71.769997"
"2015-01-28","70.989998"
"2015-01-29","63.689999"
"2015-01-30","62.459999"
"2015-02-02","65.529999"
"2015-02-03","66.959999"
"2015-02-04","66.959999"
"2015-02-05","67.949997"
"2015-02-06","66.349998"
"2015-02-09","67.110001"
"2015-02-10","70.260002"
"2015-02-11","70.209999"
"2015-02-12","70.389999"
"2015-02-13","70.879997"
"2015-02-17","70.800003"
"2015-02-18","70.540001"
"2015-02-19","70.980003"
"2015-02-20","71.519997"
"2015-02-23","70.940002"
"2015-02-24","71.370003"
"2015-02-25","71.680000"
"2015-02-26","72.010002"
"2015-02-27","72.510002"
"2015-03-02","72.660004"
"2015-03-03","71.410004"
"2015-03-04","70.849998"
"2015-03-05","70.930000"
"2015-03-06","71.510002"
"2015-03-09","72.709999"
"2015-03-10","71.889999"
"2015-03-11","70.269997"
"2015-03-12","69.370003"
"2015-03-13","68.639999"
"2015-03-16","70.000000"
"2015-03-17","69.820000"
"2015-03-18","70.230003"
"2015-03-19","69.830002"
"2015-03-20","70.040001"
"2015-03-23","70.070000"
"2015-03-24","68.970001"
"2015-03-25","67.209999"
"2015-03-26","67.160004"
"2015-03-27","67.029999"
"2015-03-30","68.879997"
"2015-03-31","69.339996"
"2015-04-01","69.430000"
"2015-04-02","67.970001"
"2015-04-06","67.760002"
"2015-04-07","67.320000"
"2015-04-08","67.260002"
"2015-04-09","68.809998"
"2015-04-10","69.160004"
"2015-04-13","68.730003"
"2015-04-14","68.970001"
"2015-04-15","68.459999"
"2015-04-16","67.910004"
"2015-04-17","67.110001"
"2015-04-20","68.639999"
"2015-04-21","68.570000"
"2015-04-22","68.940002"
"2015-04-23","68.339996"
"2015-04-24","68.239998"
"2015-04-27","69.230003"
"2015-04-28","69.650002"
"2015-04-29","68.669998"
"2015-04-30","68.000000"
"2015-05-01","68.419998"
"2015-05-04","69.059998"
"2015-05-05","68.370003"
"2015-05-06","67.809998"
"2015-05-07","68.430000"
"2015-05-08","69.410004"
"2015-05-11","69.050003"
"2015-05-12","68.790001"
"2015-05-13","69.730003"
"2015-05-14","70.519997"
"2015-05-15","71.059998"
"2015-05-18","70.419998"
"2015-05-19","69.620003"
"2015-05-20","69.279999"
"2015-05-21","70.089996"
"2015-05-22","69.510002"
"2015-05-26","69.360001"
"2015-05-27","71.019997"
"2015-05-28","70.599998"
"2015-05-29","69.680000"
"2015-06-01","69.419998"
"2015-06-02","69.349998"
"2015-06-03","69.860001"
"2015-06-04","68.900002"
"2015-06-05","68.260002"
"2015-06-08","67.279999"
"2015-06-09","66.839996"
"2015-06-10","67.309998"
"2015-06-11","67.599998"
"2015-06-12","67.029999"
"2015-06-15","66.629997"
"2015-06-16","66.459999"
"2015-06-17","66.550003"
"2015-06-18","67.360001"
"2015-06-19","66.879997"
"2015-06-22","67.360001"
"2015-06-23","66.980003"
"2015-06-24","65.349998"
"2015-06-25","65.260002"
"2015-06-26","64.669998"
"2015-06-29","62.619999"
"2015-06-30","62.630001"
"2015-07-01","62.900002"
"2015-07-02","63.110001"
"2015-07-06","63.110001"
"2015-07-07","62.799999"
"2015-07-08","61.910000"
"2015-07-09","61.860001"
"2015-07-10","62.730000"
"2015-07-13","63.430000"
"2015-07-14","63.939999"
"2015-07-15","63.880001"
"2015-07-16","64.550003"
"2015-07-17","64.339996"
"2015-07-20","63.790001"
"2015-07-21","65.139999"
"2015-07-22","64.190002"
"2015-07-23","61.779999"
"2015-07-24","61.639999"
"2015-07-27","61.980000"
"2015-07-28","63.099998"
"2015-07-29","63.169998"
"2015-07-30","64.410004"
"2015-07-31","64.389999"
"2015-08-03","64.430000"
"2015-08-04","63.450001"
"2015-08-05","63.880001"
"2015-08-06","62.840000"
"2015-08-07","63.020000"
"2015-08-10","63.150002"
"2015-08-11","62.549999"
"2015-08-12","62.580002"
"2015-08-13","62.029999"
"2015-08-14","61.910000"
"2015-08-17","62.070000"
"2015-08-18","61.320000"
"2015-08-19","61.180000"
"2015-08-20","60.150002"
"2015-08-21","57.610001"
"2015-08-24","55.279999"
"2015-08-25","53.880001"
"2015-08-26","56.660000"
"2015-08-27","57.360001"
"2015-08-28","57.450001"
"2015-08-31","56.580002"
"2015-09-01","55.020000"
"2015-09-02","55.860001"
"2015-09-03","55.549999"
"2015-09-04","54.290001"
"2015-09-08","55.200001"
"2015-09-09","54.320000"
"2015-09-10","55.330002"
"2015-09-11","54.660000"
"2015-09-14","54.310001"
"2015-09-15","54.869999"
"2015-09-16","55.200001"
"2015-09-17","54.980000"
"2015-09-18","54.450001"
"2015-09-21","54.389999"
"2015-09-22","53.939999"
"2015-09-23","53.560001"
"2015-09-24","53.270000"
"2015-09-25","53.220001"
"2015-09-28","52.540001"
"2015-09-29","52.430000"
"2015-09-30","53.730000"
"2015-10-01","53.180000"
"2015-10-02","55.070000"
"2015-10-05","56.230000"
"2015-10-06","56.320000"
"2015-10-07","56.610001"
"2015-10-08","57.660000"
"2015-10-09","57.779999"
"2015-10-12","57.790001"
"2015-10-13","57.509998"
"2015-10-14","58.630001"
"2015-10-15","59.259998"
"2015-10-16","59.910000"
"2015-10-19","59.099998"
"2015-10-20","59.000000"
"2015-10-21","58.970001"
"2015-10-22","60.430000"
"2015-10-23","60.730000"
"2015-10-26","59.209999"
"2015-10-27","59.279999"
"2015-10-28","60.270000"
"2015-10-29","60.000000"
"2015-10-30","59.419998"
"2015-11-02","60.639999"
"2015-11-03","60.869999"
"2015-11-04","60.259998"
