"date, price"
"2015-07-17","25.280001"
"2015-07-20","23.100000"
"2015-07-21","22.940001"
"2015-07-22","23.950001"
"2015-07-23","24.100000"
"2015-07-24","24.000000"
"2015-07-27","23.700001"
"2015-07-28","25.020000"
"2015-07-29","23.350000"
"2015-07-30","23.850000"
"2015-07-31","22.980000"
"2015-08-03","20.430000"
"2015-08-04","19.799999"
"2015-08-05","21.190001"
"2015-08-06","19.900000"
"2015-08-07","20.950001"
"2015-08-10","22.090000"
"2015-08-11","21.600000"
"2015-08-12","20.920000"
"2015-08-13","21.480000"
"2015-08-14","21.959999"
"2015-08-17","22.910000"
"2015-08-18","24.379999"
"2015-08-19","24.719999"
"2015-08-20","23.760000"
"2015-08-21","21.110001"
"2015-08-24","20.490000"
"2015-08-25","20.860001"
"2015-08-26","22.360001"
"2015-08-27","21.760000"
"2015-08-28","21.629999"
"2015-08-31","21.090000"
"2015-09-01","20.270000"
"2015-09-02","20.820000"
"2015-09-03","20.379999"
"2015-09-04","19.959999"
"2015-09-08","20.430000"
"2015-09-09","20.280001"
"2015-09-10","21.049999"
"2015-09-11","20.590000"
"2015-09-14","20.309999"
"2015-09-15","20.500000"
"2015-09-16","20.670000"
"2015-09-17","21.730000"
"2015-09-18","22.510000"
"2015-09-21","25.010000"
"2015-09-22","24.670000"
"2015-09-23","24.629999"
"2015-09-24","24.650000"
"2015-09-25","24.330000"
"2015-09-28","23.500000"
"2015-09-29","23.360001"
"2015-09-30","22.750000"
"2015-10-01","22.260000"
"2015-10-02","22.209999"
"2015-10-05","21.240000"
"2015-10-06","21.070000"
"2015-10-07","22.260000"
"2015-10-08","23.280001"
"2015-10-09","23.580000"
"2015-10-12","23.270000"
"2015-10-13","23.010000"
"2015-10-14","20.580000"
"2015-10-15","20.750000"
"2015-10-16","20.990000"
"2015-10-19","20.830000"
"2015-10-20","20.730000"
"2015-10-21","18.260000"
"2015-10-22","18.719999"
"2015-10-23","18.690001"
"2015-10-26","18.740000"
"2015-10-27","18.690001"
"2015-10-28","20.360001"
"2015-10-29","20.500000"
"2015-10-30","20.559999"
"2015-11-02","21.150000"
"2015-11-03","21.750000"
"2015-11-04","21.980000"
"2015-11-05","20.870001"
"2015-11-06","21.480000"
"2015-11-09","21.059999"
"2015-11-10","21.049999"
"2015-11-11","21.080000"
"2015-11-12","20.900000"
"2015-11-13","19.969999"
"2015-11-16","20.209999"
"2015-11-17","20.700001"
"2015-11-18","20.309999"
"2015-11-19","19.200001"
"2015-11-20","18.510000"
"2015-11-23","18.170000"
"2015-11-24","17.510000"
"2015-11-25","17.270000"
"2015-11-27","17.129999"
"2015-11-30","17.129999"
"2015-12-01","16.950001"
"2015-12-02","17.010000"
"2015-12-03","16.639999"
"2015-12-04","16.150000"
"2015-12-07","16.170000"
"2015-12-08","15.910000"
"2015-12-09","15.270000"
"2015-12-10","15.590000"
"2015-12-11","15.310000"
"2015-12-14","15.190000"
"2015-12-15","15.980000"
"2015-12-16","16.910000"
"2015-12-17","17.320000"
"2015-12-18","16.270000"
"2015-12-21","15.670000"
"2015-12-22","15.830000"
"2015-12-23","15.490000"
"2015-12-24","15.440000"
"2015-12-28","15.390000"
"2015-12-29","14.990000"
"2015-12-30","14.970000"
"2015-12-31","15.130000"
"2016-01-04","14.530000"
"2016-01-05","14.460000"
"2016-01-06","15.150000"
"2016-01-07","14.880000"
"2016-01-08","14.240000"
"2016-01-11","14.040000"
"2016-01-12","14.640000"
"2016-01-13","14.870000"
"2016-01-14","15.920000"
"2016-01-15","15.790000"
"2016-01-19","14.260000"
"2016-01-20","12.920000"
"2016-01-21","12.680000"
"2016-01-22","13.830000"
"2016-01-25","12.590000"
"2016-01-26","12.230000"
"2016-01-27","12.160000"
"2016-01-28","12.570000"
"2016-01-29","13.100000"
"2016-02-01","13.310000"
"2016-02-02","12.980000"
"2016-02-03","12.680000"
"2016-02-04","12.790000"
"2016-02-05","10.990000"
"2016-02-08","10.150000"
"2016-02-09","9.460000"
"2016-02-10","9.980000"
"2016-02-11","10.760000"
"2016-02-12","11.340000"
"2016-02-16","11.170000"
"2016-02-17","11.800000"
"2016-02-18","12.200000"
"2016-02-19","12.700000"
"2016-02-22","12.360000"
"2016-02-23","12.180000"
"2016-02-24","13.220000"
"2016-02-25","13.380000"
"2016-02-26","13.730000"
"2016-02-29","13.290000"
"2016-03-01","13.370000"
"2016-03-02","13.970000"
"2016-03-03","14.210000"
"2016-03-04","14.780000"
"2016-03-07","15.540000"
"2016-03-08","15.140000"
"2016-03-09","14.370000"
"2016-03-10","13.820000"
"2016-03-11","14.440000"
"2016-03-14","14.490000"
"2016-03-15","12.800000"
"2016-03-16","12.470000"
"2016-03-17","12.820000"
"2016-03-18","12.670000"
"2016-03-21","13.260000"
"2016-03-22","13.130000"
"2016-03-23","12.650000"
"2016-03-24","12.590000"
"2016-03-28","12.970000"
"2016-03-29","12.890000"
"2016-03-30","13.360000"
"2016-03-31","13.070000"
"2016-04-01","13.950000"
"2016-04-04","13.460000"
"2016-04-05","12.760000"
"2016-04-06","12.980000"
"2016-04-07","12.670000"
"2016-04-08","12.710000"
"2016-04-11","12.900000"
"2016-04-12","12.820000"
"2016-04-13","13.350000"
"2016-04-14","13.060000"
"2016-04-15","12.940000"
"2016-04-18","13.210000"
"2016-04-19","12.550000"
"2016-04-20","11.730000"
"2016-04-21","11.710000"
"2016-04-22","12.320000"
"2016-04-25","12.440000"
"2016-04-26","12.530000"
"2016-04-27","12.510000"
"2016-04-28","12.470000"
"2016-04-29","12.520000"
"2016-05-02","12.580000"
"2016-05-03","12.370000"
"2016-05-04","11.800000"
"2016-05-05","11.670000"
"2016-05-06","11.400000"
"2016-05-09","11.900000"
"2016-05-10","11.840000"
"2016-05-11","11.420000"
"2016-05-12","11.310000"
"2016-05-13","11.300000"
"2016-05-16","11.530000"
"2016-05-17","11.140000"
"2016-05-18","11.490000"
"2016-05-19","11.380000"
"2016-05-20","11.580000"
"2016-05-23","11.880000"
"2016-05-24","12.220000"
"2016-05-25","12.110000"
"2016-05-26","12.520000"
"2016-05-27","12.550000"
"2016-05-31","12.850000"
"2016-06-01","13.590000"
"2016-06-02","13.760000"
"2016-06-03","13.140000"
"2016-06-06","13.910000"
"2016-06-07","14.090000"
"2016-06-08","14.390000"
"2016-06-09","14.630000"
"2016-06-10","14.490000"
"2016-06-13","14.510000"
"2016-06-14","14.030000"
"2016-06-15","12.730000"
"2016-06-16","13.480000"
"2016-06-17","12.970000"
"2016-06-20","13.430000"
"2016-06-21","13.470000"
"2016-06-22","13.270000"
"2016-06-23","13.650000"
"2016-06-24","13.010000"
"2016-06-27","12.140000"
"2016-06-28","12.210000"
"2016-06-29","12.340000"
"2016-06-30","12.580000"
"2016-07-01","12.600000"
"2016-07-05","11.760000"
"2016-07-06","11.920000"
"2016-07-07","12.010000"
"2016-07-08","12.460000"
"2016-07-11","12.450000"
"2016-07-12","12.550000"
"2016-07-13","12.750000"
"2016-07-14","12.630000"
"2016-07-15","12.860000"
"2016-07-18","12.820000"
"2016-07-19","12.760000"
"2016-07-20","13.370000"
"2016-07-21","12.940000"
"2016-07-22","13.540000"
"2016-07-25","13.880000"
"2016-07-26","13.980000"
"2016-07-27","14.190000"
"2016-07-28","13.990000"
"2016-07-29","13.980000"
"2016-08-01","14.010000"
"2016-08-02","13.950000"
"2016-08-03","14.220000"
"2016-08-04","14.040000"
"2016-08-05","14.390000"
"2016-08-08","13.960000"
"2016-08-09","15.650000"
"2016-08-10","15.550000"
"2016-08-11","15.640000"
"2016-08-12","15.660000"
"2016-08-15","15.980000"
"2016-08-16","16.379999"
"2016-08-17","16.270000"
"2016-08-18","17.129999"
"2016-08-19","18.480000"
"2016-08-22","18.059999"
"2016-08-23","18.610001"
"2016-08-24","18.049999"
"2016-08-25","18.620001"
"2016-08-26","18.750000"
"2016-08-29","19.020000"
"2016-08-30","19.219999"
"2016-08-31","17.969999"
"2016-09-01","17.500000"
"2016-09-02","17.959999"
"2016-09-06","18.340000"
"2016-09-07","18.330000"
"2016-09-08","18.010000"
"2016-09-09","16.920000"
"2016-09-12","16.700001"
"2016-09-13","16.320000"
"2016-09-14","16.580000"
"2016-09-15","16.350000"
"2016-09-16","16.530001"
"2016-09-19","16.549999"
"2016-09-20","16.590000"
"2016-09-21","17.559999"
"2016-09-22","17.450001"
"2016-09-23","17.549999"
"2016-09-26","16.799999"
"2016-09-27","17.350000"
"2016-09-28","17.500000"
"2016-09-29","17.200001"
"2016-09-30","17.650000"
"2016-10-03","17.590000"
"2016-10-04","18.129999"
"2016-10-05","17.820000"
"2016-10-06","17.059999"
"2016-10-07","16.620001"
"2016-10-10","16.670000"
"2016-10-11","16.020000"
"2016-10-12","15.620000"
"2016-10-13","15.420000"
"2016-10-14","16.110001"
"2016-10-17","15.000000"
"2016-10-18","15.200000"
"2016-10-19","15.110000"
"2016-10-20","15.060000"
"2016-10-21","15.470000"
"2016-10-24","15.370000"
"2016-10-25","15.060000"
"2016-10-26","14.730000"
"2016-10-27","14.560000"
"2016-10-28","14.260000"
"2016-10-31","14.330000"
"2016-11-01","14.070000"
"2016-11-02","13.590000"
"2016-11-03","13.770000"
"2016-11-04","13.370000"
"2016-11-07","13.830000"
"2016-11-08","14.030000"
"2016-11-09","14.230000"
"2016-11-10","11.700000"
"2016-11-11","11.510000"
"2016-11-14","11.860000"
"2016-11-15","11.870000"
"2016-11-16","11.750000"
"2016-11-17","11.550000"
"2016-11-18","11.560000"
"2016-11-21","11.850000"
"2016-11-22","11.600000"
"2016-11-23","11.920000"
"2016-11-25","12.020000"
"2016-11-28","11.980000"
"2016-11-29","11.760000"
"2016-11-30","11.600000"
"2016-12-01","11.500000"
"2016-12-02","11.770000"
"2016-12-05","12.290000"
"2016-12-06","12.560000"
"2016-12-07","13.230000"
"2016-12-08","13.470000"
"2016-12-09","12.990000"
"2016-12-12","12.470000"
"2016-12-13","12.500000"
"2016-12-14","12.470000"
"2016-12-15","12.440000"
"2016-12-16","12.490000"
"2016-12-19","12.520000"
"2016-12-20","12.510000"
"2016-12-21","12.260000"
"2016-12-22","12.010000"
"2016-12-23","12.140000"
"2016-12-27","12.320000"
"2016-12-28","12.100000"
"2016-12-29","12.290000"
"2016-12-30","12.170000"
"2017-01-03","12.350000"
"2017-01-04","12.510000"
"2017-01-05","12.590000"
"2017-01-06","12.540000"
"2017-01-09","12.560000"
"2017-01-10","12.760000"
"2017-01-11","12.740000"
"2017-01-12","12.750000"
"2017-01-13","13.110000"
"2017-01-17","12.740000"
"2017-01-18","12.660000"
"2017-01-19","12.660000"
"2017-01-20","12.790000"
"2017-01-23","12.850000"
"2017-01-24","12.790000"
"2017-01-25","12.740000"
"2017-01-26","12.690000"
"2017-01-27","12.690000"
"2017-01-30","12.370000"
"2017-01-31","12.470000"
"2017-02-01","12.610000"
"2017-02-02","12.740000"
"2017-02-03","12.840000"
"2017-02-06","12.800000"
"2017-02-07","12.800000"
"2017-02-08","12.770000"
"2017-02-09","12.560000"
"2017-02-10","14.150000"
"2017-02-13","14.520000"
"2017-02-14","15.360000"
"2017-02-15","15.070000"
"2017-02-16","14.760000"
"2017-02-17","15.160000"
"2017-02-21","15.730000"
"2017-02-22","15.770000"
"2017-02-23","15.540000"
"2017-02-24","15.410000"
"2017-02-27","15.700000"
"2017-02-28","15.150000"
"2017-03-01","15.120000"
"2017-03-02","14.760000"
"2017-03-03","14.540000"
"2017-03-06","14.490000"
"2017-03-07","14.970000"
"2017-03-08","15.180000"
"2017-03-09","14.640000"
"2017-03-10","14.950000"
"2017-03-13","15.200000"
"2017-03-14","14.940000"
"2017-03-15","15.050000"
"2017-03-16","15.250000"
"2017-03-17","14.960000"
"2017-03-20","14.980000"
"2017-03-21","14.240000"
"2017-03-22","14.110000"
"2017-03-23","14.420000"
"2017-03-24","14.450000"
"2017-03-27","14.380000"
"2017-03-28","14.500000"
"2017-03-29","14.850000"
"2017-03-30","15.010000"
"2017-03-31","14.980000"
"2017-04-03","14.630000"
"2017-04-04","14.840000"
"2017-04-05","14.540000"
"2017-04-06","14.840000"
"2017-04-07","15.000000"
"2017-04-10","14.980000"
"2017-04-11","16.430000"
"2017-04-12","16.200001"
"2017-04-13","16.299999"
"2017-04-17","16.780001"
"2017-04-18","16.690001"
