"date, price"
"2020-06-16","44.500000"
"2020-06-17","48.610001"
"2020-06-18","50.900002"
"2020-06-19","49.000000"
"2020-06-22","51.290001"
"2020-06-23","50.950001"
"2020-06-24","50.250000"
"2020-06-25","52.110001"
"2020-06-26","49.590000"
"2020-06-29","48.730000"
"2020-06-30","48.549999"
"2020-07-01","46.470001"
"2020-07-02","45.730000"
"2020-07-06","46.110001"
"2020-07-07","47.049999"
"2020-07-08","48.020000"
"2020-07-09","48.360001"
"2020-07-10","47.639999"
"2020-07-13","44.060001"
"2020-07-14","43.520000"
"2020-07-15","43.000000"
"2020-07-16","42.200001"
"2020-07-17","44.189999"
"2020-07-20","45.869999"
"2020-07-21","43.070000"
"2020-07-22","43.070000"
"2020-07-23","42.889999"
"2020-07-24","41.910000"
"2020-07-27","43.220001"
"2020-07-28","41.930000"
"2020-07-29","43.049999"
"2020-07-30","42.779999"
"2020-07-31","43.049999"
"2020-08-03","44.119999"
"2020-08-04","43.200001"
"2020-08-05","41.930000"
"2020-08-06","43.900002"
"2020-08-07","43.759998"
"2020-08-10","45.759998"
"2020-08-11","45.770000"
"2020-08-12","44.990002"
"2020-08-13","45.480000"
"2020-08-14","45.410000"
"2020-08-17","45.950001"
"2020-08-18","44.619999"
"2020-08-19","43.900002"
"2020-08-20","43.259998"
"2020-08-21","41.970001"
"2020-08-24","42.730000"
"2020-08-25","41.779999"
"2020-08-26","41.939999"
"2020-08-27","41.000000"
"2020-08-28","42.070000"
"2020-08-31","41.380001"
"2020-09-01","41.599998"
"2020-09-02","41.750000"
"2020-09-03","40.740002"
"2020-09-04","39.779999"
"2020-09-08","39.040001"
"2020-09-09","38.840000"
"2020-09-10","39.439999"
"2020-09-11","38.560001"
"2020-09-14","39.820000"
"2020-09-15","40.705002"
"2020-09-16","40.610001"
"2020-09-17","41.279999"
"2020-09-18","41.980000"
"2020-09-21","40.590000"
"2020-09-22","41.720001"
"2020-09-23","41.779999"
"2020-09-24","40.230000"
"2020-09-25","40.070000"
"2020-09-28","41.209999"
"2020-09-29","42.009998"
"2020-09-30","42.070000"
"2020-10-01","42.590000"
"2020-10-02","42.470001"
"2020-10-05","43.400002"
"2020-10-06","43.799999"
"2020-10-07","44.590000"
"2020-10-08","44.099998"
"2020-10-09","44.080002"
"2020-10-12","44.410000"
"2020-10-13","44.810001"
"2020-10-14","42.790001"
"2020-10-15","42.480000"
"2020-10-16","41.810001"
"2020-10-19","40.270000"
"2020-10-20","40.090000"
"2020-10-21","39.000000"
"2020-10-22","39.209999"
"2020-10-23","39.009998"
"2020-10-26","38.770000"
"2020-10-27","37.869999"
"2020-10-28","36.119999"
"2020-10-29","36.340000"
"2020-10-30","36.700001"
"2020-11-02","37.580002"
"2020-11-03","38.119999"
"2020-11-04","40.279999"
"2020-11-05","40.130001"
"2020-11-06","40.240002"
"2020-11-09","40.970001"
"2020-11-10","40.599998"
"2020-11-11","40.310001"
"2020-11-12","40.650002"
