"date, price"
"2014-12-04","46.689999"
"2014-12-05","47.130001"
"2014-12-08","46.490002"
"2014-12-09","47.000000"
"2014-12-10","45.660000"
"2014-12-11","45.950001"
"2014-12-12","45.090000"
"2014-12-15","44.709999"
"2014-12-16","44.630001"
"2014-12-17","45.299999"
"2014-12-18","46.439999"
"2014-12-19","46.430000"
"2014-12-22","48.169998"
"2014-12-23","47.770000"
"2014-12-24","48.259998"
"2014-12-26","48.119999"
"2014-12-29","47.970001"
"2014-12-30","48.049999"
"2014-12-31","47.619999"
"2015-01-02","47.509998"
"2015-01-05","46.490002"
"2015-01-06","45.340000"
"2015-01-07","44.900002"
"2015-01-08","46.939999"
"2015-01-09","47.310001"
"2015-01-12","47.009998"
"2015-01-13","47.279999"
"2015-01-14","46.959999"
"2015-01-15","44.169998"
"2015-01-16","44.950001"
"2015-01-20","45.099998"
"2015-01-21","45.250000"
"2015-01-22","45.250000"
"2015-01-23","45.299999"
"2015-01-26","45.340000"
"2015-01-27","44.869999"
"2015-01-28","44.830002"
"2015-01-29","45.580002"
"2015-01-30","43.759998"
"2015-02-02","43.959999"
"2015-02-03","44.160000"
"2015-02-04","47.820000"
"2015-02-05","47.720001"
"2015-02-06","47.509998"
"2015-02-09","47.439999"
"2015-02-10","47.730000"
"2015-02-11","49.299999"
"2015-02-12","49.529999"
"2015-02-13","49.259998"
"2015-02-17","49.020000"
"2015-02-18","49.160000"
"2015-02-19","49.470001"
"2015-02-20","49.900002"
"2015-02-23","49.669998"
"2015-02-24","51.130001"
"2015-02-25","50.779999"
"2015-02-26","51.099998"
"2015-02-27","50.639999"
"2015-03-02","51.970001"
"2015-03-03","51.279999"
"2015-03-04","51.320000"
"2015-03-05","50.459999"
"2015-03-06","50.299999"
"2015-03-09","50.480000"
"2015-03-10","50.139999"
"2015-03-11","50.369999"
"2015-03-12","51.259998"
"2015-03-13","50.610001"
"2015-03-16","51.220001"
"2015-03-17","50.799999"
"2015-03-18","51.490002"
"2015-03-19","51.680000"
"2015-03-20","52.490002"
"2015-03-23","52.599998"
"2015-03-24","52.009998"
"2015-03-25","49.810001"
"2015-03-26","49.099998"
"2015-03-27","50.299999"
"2015-03-30","50.820000"
"2015-03-31","50.770000"
"2015-04-01","50.459999"
"2015-04-02","50.900002"
"2015-04-06","50.500000"
"2015-04-07","50.490002"
"2015-04-08","51.090000"
"2015-04-09","51.840000"
"2015-04-10","52.150002"
"2015-04-13","51.970001"
"2015-04-14","51.480000"
"2015-04-15","52.509998"
"2015-04-16","52.599998"
"2015-04-17","51.810001"
"2015-04-20","52.759998"
"2015-04-21","52.900002"
"2015-04-22","52.980000"
"2015-04-23","52.639999"
"2015-04-24","50.889999"
"2015-04-27","51.709999"
"2015-04-28","53.310001"
"2015-04-29","52.529999"
"2015-04-30","51.669998"
"2015-05-01","52.259998"
"2015-05-04","52.389999"
"2015-05-05","51.099998"
"2015-05-06","50.639999"
"2015-05-07","51.110001"
"2015-05-08","51.320000"
"2015-05-11","51.689999"
"2015-05-12","50.810001"
"2015-05-13","51.340000"
"2015-05-14","51.930000"
"2015-05-15","51.540001"
"2015-05-18","52.750000"
"2015-05-19","51.849998"
"2015-05-20","51.709999"
"2015-05-21","52.480000"
"2015-05-22","52.700001"
"2015-05-26","52.509998"
"2015-05-27","54.619999"
"2015-05-28","54.900002"
"2015-05-29","55.439999"
"2015-06-01","55.689999"
"2015-06-02","55.310001"
"2015-06-03","56.180000"
"2015-06-04","55.709999"
"2015-06-05","56.070000"
"2015-06-08","55.080002"
"2015-06-09","55.700001"
"2015-06-10","56.549999"
"2015-06-11","56.480000"
"2015-06-12","56.080002"
"2015-06-15","56.250000"
"2015-06-16","56.540001"
"2015-06-17","56.639999"
"2015-06-18","58.450001"
"2015-06-19","57.380001"
"2015-06-22","57.220001"
"2015-06-23","57.060001"
"2015-06-24","56.259998"
"2015-06-25","56.599998"
"2015-06-26","55.500000"
"2015-06-29","53.910000"
"2015-06-30","54.009998"
"2015-07-01","53.410000"
"2015-07-02","53.369999"
"2015-07-06","52.650002"
"2015-07-07","52.459999"
"2015-07-08","51.730000"
"2015-07-09","51.680000"
"2015-07-10","52.380001"
"2015-07-13","52.720001"
"2015-07-14","53.560001"
"2015-07-15","53.110001"
"2015-07-16","52.290001"
"2015-07-17","51.540001"
"2015-07-20","51.349998"
"2015-07-21","50.669998"
"2015-07-22","50.080002"
"2015-07-23","50.849998"
"2015-07-24","49.759998"
"2015-07-27","50.150002"
"2015-07-28","51.020000"
"2015-07-29","45.310001"
"2015-07-30","45.450001"
"2015-07-31","44.990002"
"2015-08-03","43.080002"
"2015-08-04","42.980000"
"2015-08-05","43.540001"
"2015-08-06","43.560001"
"2015-08-07","43.910000"
"2015-08-10","44.500000"
"2015-08-11","43.500000"
"2015-08-12","44.000000"
"2015-08-13","43.689999"
"2015-08-14","43.790001"
"2015-08-17","44.560001"
"2015-08-18","43.160000"
"2015-08-19","43.099998"
"2015-08-20","41.639999"
"2015-08-21","41.549999"
"2015-08-24","40.320000"
"2015-08-25","40.570000"
"2015-08-26","42.070000"
"2015-08-27","42.540001"
"2015-08-28","43.290001"
"2015-08-31","43.480000"
"2015-09-01","42.049999"
"2015-09-02","42.730000"
"2015-09-03","43.520000"
"2015-09-04","42.980000"
"2015-09-08","44.820000"
"2015-09-09","44.070000"
"2015-09-10","43.849998"
"2015-09-11","43.939999"
"2015-09-14","43.740002"
"2015-09-15","44.369999"
"2015-09-16","44.040001"
"2015-09-17","43.889999"
"2015-09-18","43.360001"
"2015-09-21","43.290001"
"2015-09-22","41.950001"
"2015-09-23","42.099998"
"2015-09-24","41.730000"
"2015-09-25","40.380001"
"2015-09-28","39.669998"
"2015-09-29","39.980000"
