"date, price"
"2014-12-04","64.029999"
"2014-12-05","65.849998"
"2014-12-08","62.810001"
"2014-12-09","62.610001"
"2014-12-10","59.520000"
"2014-12-11","57.259998"
"2014-12-12","55.770000"
"2014-12-15","54.869999"
"2014-12-16","53.750000"
"2014-12-17","56.619999"
"2014-12-18","59.189999"
"2014-12-19","61.610001"
"2014-12-22","61.450001"
"2014-12-23","61.599998"
"2014-12-24","61.490002"
"2014-12-26","62.980000"
"2014-12-29","61.700001"
"2014-12-30","59.770000"
"2014-12-31","58.950001"
"2015-01-02","58.790001"
"2015-01-05","56.840000"
"2015-01-06","55.779999"
"2015-01-07","56.250000"
"2015-01-08","58.450001"
"2015-01-09","57.639999"
"2015-01-12","57.099998"
"2015-01-13","57.310001"
"2015-01-14","57.000000"
"2015-01-15","54.169998"
"2015-01-16","55.279999"
"2015-01-20","54.939999"
"2015-01-21","55.650002"
"2015-01-22","55.939999"
"2015-01-23","56.889999"
"2015-01-26","56.740002"
"2015-01-27","55.529999"
"2015-01-28","53.410000"
"2015-01-29","53.689999"
"2015-01-30","51.650002"
"2015-02-02","53.349998"
"2015-02-03","55.599998"
"2015-02-04","56.189999"
"2015-02-05","61.060001"
"2015-02-06","62.459999"
"2015-02-09","60.480000"
"2015-02-10","58.990002"
"2015-02-11","60.599998"
"2015-02-12","61.930000"
"2015-02-13","64.180000"
"2015-02-17","63.830002"
"2015-02-18","65.900002"
"2015-02-19","68.059998"
"2015-02-20","68.940002"
"2015-02-23","68.599998"
"2015-02-24","66.440002"
"2015-02-25","67.500000"
"2015-02-26","69.570000"
"2015-02-27","67.250000"
"2015-03-02","67.120003"
"2015-03-03","65.680000"
"2015-03-04","63.669998"
"2015-03-05","64.650002"
"2015-03-06","62.480000"
"2015-03-09","61.830002"
"2015-03-10","60.810001"
"2015-03-11","60.830002"
"2015-03-12","62.830002"
"2015-03-13","62.820000"
"2015-03-16","62.070000"
"2015-03-17","62.840000"
"2015-03-18","64.330002"
"2015-03-19","63.730000"
"2015-03-20","62.119999"
"2015-03-23","60.720001"
"2015-03-24","60.040001"
"2015-03-25","58.720001"
"2015-03-26","59.580002"
"2015-03-27","60.400002"
"2015-03-30","60.110001"
"2015-03-31","59.200001"
"2015-04-01","57.820000"
"2015-04-02","59.230000"
"2015-04-06","60.180000"
"2015-04-07","62.090000"
"2015-04-08","63.369999"
"2015-04-09","63.790001"
"2015-04-10","63.169998"
"2015-04-13","62.470001"
"2015-04-14","62.070000"
"2015-04-15","63.450001"
"2015-04-16","64.669998"
"2015-04-17","62.410000"
"2015-04-20","63.740002"
"2015-04-21","64.230003"
"2015-04-22","65.919998"
"2015-04-23","67.809998"
"2015-04-24","67.879997"
"2015-04-27","67.320000"
"2015-04-28","66.629997"
"2015-04-29","67.919998"
"2015-04-30","66.349998"
"2015-05-01","66.709999"
"2015-05-04","67.169998"
"2015-05-05","65.730003"
"2015-05-06","66.059998"
"2015-05-07","66.589996"
"2015-05-08","68.559998"
"2015-05-11","67.379997"
"2015-05-12","67.669998"
"2015-05-13","69.709999"
"2015-05-14","70.419998"
"2015-05-15","70.250000"
"2015-05-18","67.029999"
"2015-05-19","67.940002"
"2015-05-20","68.019997"
"2015-05-21","69.349998"
"2015-05-22","68.940002"
"2015-05-26","68.300003"
