"date, price"
"2014-12-04","63.880001"
"2014-12-05","67.150002"
"2014-12-08","64.959999"
"2014-12-09","66.250000"
"2014-12-10","64.690002"
"2014-12-11","67.080002"
"2014-12-12","66.389999"
"2014-12-15","65.230003"
"2014-12-16","64.730003"
"2014-12-17","67.330002"
"2014-12-18","69.419998"
"2014-12-19","68.180000"
"2014-12-22","68.989998"
"2014-12-23","69.459999"
"2014-12-24","69.580002"
"2014-12-26","71.800003"
"2014-12-29","70.449997"
"2014-12-30","69.519997"
"2014-12-31","68.839996"
"2015-01-02","64.250000"
"2015-01-05","63.720001"
"2015-01-06","60.430000"
"2015-01-07","61.570000"
"2015-01-08","60.840000"
"2015-01-09","60.669998"
"2015-01-12","60.380001"
"2015-01-13","60.880001"
"2015-01-14","60.509998"
"2015-01-15","58.439999"
"2015-01-16","60.250000"
"2015-01-20","62.849998"
"2015-01-21","63.779999"
"2015-01-22","67.250000"
"2015-01-23","66.620003"
"2015-01-26","67.589996"
"2015-01-27","66.419998"
"2015-01-28","67.029999"
"2015-01-29","68.309998"
"2015-01-30","76.809998"
"2015-02-02","77.879997"
"2015-02-03","79.290001"
"2015-02-04","77.750000"
"2015-02-05","78.489998"
"2015-02-06","77.220001"
"2015-02-09","76.400002"
"2015-02-10","77.589996"
"2015-02-11","77.860001"
"2015-02-12","78.040001"
"2015-02-13","78.910004"
"2015-02-17","79.449997"
"2015-02-18","80.070000"
"2015-02-19","80.959999"
"2015-02-20","82.230003"
"2015-02-23","82.709999"
"2015-02-24","83.669998"
"2015-02-25","83.580002"
"2015-02-26","85.110001"
"2015-02-27","85.949997"
"2015-03-02","81.839996"
"2015-03-03","80.709999"
"2015-03-04","81.019997"
"2015-03-05","81.000000"
"2015-03-06","80.169998"
"2015-03-09","80.730003"
"2015-03-10","80.669998"
"2015-03-11","80.230003"
"2015-03-12","80.139999"
"2015-03-13","79.379997"
"2015-03-16","82.209999"
"2015-03-17","82.360001"
"2015-03-18","84.070000"
"2015-03-19","84.000000"
"2015-03-20","84.540001"
"2015-03-23","85.040001"
"2015-03-24","84.300003"
"2015-03-25","82.540001"
"2015-03-26","82.089996"
"2015-03-27","83.669998"
"2015-03-30","82.419998"
"2015-03-31","81.309998"
"2015-04-01","79.279999"
"2015-04-02","79.779999"
"2015-04-06","81.370003"
"2015-04-07","81.849998"
"2015-04-08","84.180000"
"2015-04-09","86.080002"
"2015-04-10","87.339996"
"2015-04-13","87.540001"
"2015-04-14","88.230003"
"2015-04-15","89.589996"
"2015-04-16","89.089996"
"2015-04-17","88.260002"
"2015-04-20","89.489998"
"2015-04-21","90.599998"
"2015-04-22","89.540001"
"2015-04-23","89.040001"
"2015-04-24","85.690002"
"2015-04-27","85.129997"
"2015-04-28","86.570000"
"2015-04-29","86.699997"
"2015-04-30","84.720001"
"2015-05-01","86.180000"
"2015-05-04","86.300003"
"2015-05-05","84.339996"
"2015-05-06","85.290001"
"2015-05-07","85.650002"
"2015-05-08","86.110001"
"2015-05-11","88.660004"
"2015-05-12","87.910004"
"2015-05-13","87.900002"
"2015-05-14","89.680000"
"2015-05-15","90.230003"
"2015-05-18","94.370003"
"2015-05-19","92.860001"
"2015-05-20","92.529999"
"2015-05-21","94.309998"
"2015-05-22","96.449997"
"2015-05-26","95.190002"
"2015-05-27","99.110001"
"2015-05-28","99.400002"
"2015-05-29","99.639999"
"2015-06-01","99.919998"
"2015-06-02","99.500000"
"2015-06-03","100.550003"
"2015-06-04","98.760002"
"2015-06-05","100.400002"
"2015-06-08","98.970001"
"2015-06-09","97.650002"
"2015-06-10","98.989998"
"2015-06-11","97.419998"
"2015-06-12","98.129997"
"2015-06-15","100.519997"
"2015-06-16","100.699997"
"2015-06-17","100.180000"
"2015-06-18","101.480003"
"2015-06-19","98.360001"
"2015-06-22","93.559998"
"2015-06-23","93.370003"
"2015-06-24","90.980003"
"2015-06-25","89.820000"
"2015-06-26","86.320000"
"2015-06-29","85.169998"
"2015-06-30","86.739998"
"2015-07-01","83.559998"
"2015-07-02","85.910004"
"2015-07-06","82.930000"
"2015-07-07","82.900002"
"2015-07-08","82.169998"
"2015-07-09","82.220001"
"2015-07-10","84.269997"
"2015-07-13","84.029999"
"2015-07-14","85.540001"
"2015-07-15","84.440002"
"2015-07-16","85.070000"
"2015-07-17","85.089996"
"2015-07-20","83.279999"
"2015-07-21","84.760002"
"2015-07-22","79.849998"
"2015-07-23","80.739998"
"2015-07-24","80.059998"
"2015-07-27","81.290001"
"2015-07-28","81.459999"
"2015-07-29","79.839996"
"2015-07-30","79.269997"
"2015-07-31","79.379997"
"2015-08-03","79.720001"
"2015-08-04","76.669998"
"2015-08-05","76.519997"
"2015-08-06","75.000000"
"2015-08-07","75.610001"
"2015-08-10","77.029999"
"2015-08-11","73.570000"
"2015-08-12","74.320000"
"2015-08-13","73.180000"
"2015-08-14","72.570000"
"2015-08-17","73.209999"
"2015-08-18","71.320000"
"2015-08-19","71.139999"
"2015-08-20","68.870003"
"2015-08-21","70.000000"
"2015-08-24","67.760002"
"2015-08-25","67.919998"
"2015-08-26","69.650002"
"2015-08-27","71.110001"
"2015-08-28","71.010002"
"2015-08-31","70.089996"
"2015-09-01","68.720001"
"2015-09-02","69.599998"
"2015-09-03","69.669998"
"2015-09-04","68.989998"
"2015-09-08","73.580002"
"2015-09-09","71.730003"
"2015-09-10","72.330002"
"2015-09-11","71.739998"
"2015-09-14","74.250000"
"2015-09-15","74.989998"
"2015-09-16","75.550003"
"2015-09-17","74.550003"
"2015-09-18","72.519997"
"2015-09-21","72.559998"
"2015-09-22","70.529999"
"2015-09-23","68.760002"
"2015-09-24","66.089996"
"2015-09-25","66.040001"
"2015-09-28","63.820000"
"2015-09-29","64.769997"
"2015-09-30","82.459999"
"2015-10-01","80.410004"
"2015-10-02","79.709999"
"2015-10-05","82.180000"
"2015-10-06","82.889999"
"2015-10-07","83.730003"
"2015-10-08","87.160004"
"2015-10-09","86.570000"
"2015-10-12","82.839996"
"2015-10-13","81.559998"
"2015-10-14","83.550003"
"2015-10-15","86.970001"
"2015-10-16","86.169998"
"2015-10-19","84.849998"
"2015-10-20","86.779999"
"2015-10-21","84.750000"
"2015-10-22","84.870003"
"2015-10-23","89.290001"
"2015-10-26","84.349998"
"2015-10-27","84.500000"
"2015-10-28","87.680000"
"2015-10-29","84.559998"
"2015-10-30","85.089996"
"2015-11-02","86.690002"
"2015-11-03","86.300003"
"2015-11-04","89.320000"
"2015-11-05","88.779999"
"2015-11-06","94.180000"
"2015-11-09","92.959999"
"2015-11-10","92.349998"
"2015-11-11","91.540001"
"2015-11-12","88.330002"
"2015-11-13","86.410004"
