"date, price"
"2014-12-04","55.410000"
"2014-12-05","55.580002"
"2014-12-08","55.080002"
"2014-12-09","55.009998"
"2014-12-10","54.099998"
"2014-12-11","54.490002"
"2014-12-12","53.110001"
"2014-12-15","53.070000"
"2014-12-16","52.470001"
"2014-12-17","53.500000"
"2014-12-18","54.470001"
"2014-12-19","54.230000"
"2014-12-22","54.820000"
"2014-12-23","54.779999"
"2014-12-24","54.860001"
"2014-12-26","54.750000"
"2014-12-29","54.459999"
"2014-12-30","53.930000"
"2014-12-31","53.470001"
"2015-01-02","53.480000"
"2015-01-05","52.650002"
"2015-01-06","51.779999"
"2015-01-07","52.709999"
"2015-01-08","53.570000"
"2015-01-09","53.599998"
"2015-01-12","53.119999"
"2015-01-13","52.790001"
"2015-01-14","52.709999"
"2015-01-15","52.389999"
"2015-01-16","53.290001"
"2015-01-20","53.810001"
"2015-01-21","54.279999"
"2015-01-22","54.970001"
"2015-01-23","55.060001"
"2015-01-26","55.049999"
"2015-01-27","54.830002"
"2015-01-28","53.939999"
"2015-01-29","54.669998"
"2015-01-30","53.450001"
"2015-02-02","53.490002"
"2015-02-03","54.439999"
"2015-02-04","54.619999"
"2015-02-05","55.310001"
"2015-02-06","54.360001"
"2015-02-09","54.270000"
"2015-02-10","55.820000"
"2015-02-11","56.000000"
"2015-02-12","57.439999"
"2015-02-13","57.970001"
"2015-02-17","58.200001"
"2015-02-18","57.939999"
"2015-02-19","58.040001"
"2015-02-20","58.520000"
"2015-02-23","58.270000"
"2015-02-24","58.959999"
"2015-02-25","59.099998"
"2015-02-26","59.419998"
"2015-02-27","58.799999"
"2015-03-02","59.939999"
"2015-03-03","58.570000"
"2015-03-04","58.320000"
"2015-03-05","58.340000"
"2015-03-06","57.639999"
"2015-03-09","58.419998"
"2015-03-10","57.099998"
"2015-03-11","57.169998"
"2015-03-12","57.220001"
"2015-03-13","57.119999"
"2015-03-16","58.330002"
"2015-03-17","57.970001"
"2015-03-18","58.299999"
"2015-03-19","58.529999"
"2015-03-20","59.279999"
"2015-03-23","58.660000"
"2015-03-24","58.439999"
"2015-03-25","55.730000"
"2015-03-26","55.799999"
"2015-03-27","56.759998"
"2015-03-30","58.000000"
"2015-03-31","57.189999"
"2015-04-01","56.540001"
"2015-04-02","56.720001"
"2015-04-06","56.810001"
"2015-04-07","56.939999"
"2015-04-08","56.970001"
"2015-04-09","57.779999"
"2015-04-10","57.700001"
"2015-04-13","57.209999"
"2015-04-14","56.750000"
"2015-04-15","58.500000"
"2015-04-16","58.410000"
"2015-04-17","57.330002"
"2015-04-20","58.169998"
"2015-04-21","58.160000"
"2015-04-22","58.730000"
"2015-04-23","54.720001"
"2015-04-24","54.730000"
"2015-04-27","55.560001"
"2015-04-28","55.090000"
"2015-04-29","55.020000"
"2015-04-30","54.209999"
"2015-05-01","55.310001"
"2015-05-04","55.299999"
"2015-05-05","54.009998"
"2015-05-06","53.700001"
"2015-05-07","54.060001"
"2015-05-08","54.700001"
"2015-05-11","54.439999"
"2015-05-12","54.169998"
"2015-05-13","54.689999"
"2015-05-14","55.610001"
"2015-05-15","55.610001"
"2015-05-18","55.790001"
"2015-05-19","55.779999"
"2015-05-20","55.630001"
"2015-05-21","55.500000"
"2015-05-22","55.369999"
"2015-05-26","54.560001"
"2015-05-27","55.970001"
"2015-05-28","55.910000"
"2015-05-29","55.919998"
"2015-06-01","55.709999"
"2015-06-02","55.250000"
"2015-06-03","54.889999"
"2015-06-04","53.980000"
"2015-06-05","53.790001"
"2015-06-08","52.820000"
"2015-06-09","52.919998"
"2015-06-10","54.189999"
"2015-06-11","53.639999"
"2015-06-12","53.009998"
"2015-06-15","53.049999"
"2015-06-16","53.090000"
"2015-06-17","53.290001"
"2015-06-18","54.220001"
"2015-06-19","54.509998"
"2015-06-22","55.500000"
"2015-06-23","54.830002"
"2015-06-24","53.990002"
"2015-06-25","53.799999"
"2015-06-26","52.900002"
"2015-06-29","51.520000"
"2015-06-30","51.509998"
"2015-07-01","51.910000"
"2015-07-02","51.970001"
"2015-07-06","51.389999"
"2015-07-07","51.209999"
"2015-07-08","49.529999"
"2015-07-09","48.110001"
"2015-07-10","49.009998"
"2015-07-13","49.330002"
"2015-07-14","49.759998"
"2015-07-15","49.490002"
"2015-07-16","49.360001"
"2015-07-17","49.360001"
"2015-07-20","50.090000"
"2015-07-21","50.230000"
"2015-07-22","49.299999"
"2015-07-23","50.509998"
"2015-07-24","49.029999"
"2015-07-27","49.029999"
"2015-07-28","50.080002"
"2015-07-29","49.959999"
"2015-07-30","50.240002"
"2015-07-31","49.980000"
"2015-08-03","50.090000"
"2015-08-04","49.840000"
"2015-08-05","50.860001"
"2015-08-06","50.250000"
"2015-08-07","50.320000"
"2015-08-10","52.080002"
"2015-08-11","50.639999"
"2015-08-12","51.110001"
"2015-08-13","50.630001"
"2015-08-14","50.639999"
"2015-08-17","50.900002"
"2015-08-18","49.910000"
"2015-08-19","49.200001"
"2015-08-20","47.430000"
"2015-08-21","45.959999"
"2015-08-24","44.889999"
"2015-08-25","43.520000"
"2015-08-26","45.410000"
"2015-08-27","47.060001"
"2015-08-28","47.990002"
"2015-08-31","47.840000"
"2015-09-01","46.340000"
"2015-09-02","47.349998"
"2015-09-03","47.459999"
"2015-09-04","46.529999"
"2015-09-08","48.689999"
"2015-09-09","47.610001"
"2015-09-10","47.410000"
"2015-09-11","47.570000"
"2015-09-14","47.830002"
"2015-09-15","48.299999"
"2015-09-16","48.700001"
"2015-09-17","48.150002"
"2015-09-18","47.799999"
"2015-09-21","47.450001"
"2015-09-22","46.610001"
"2015-09-23","46.580002"
"2015-09-24","46.750000"
"2015-09-25","47.169998"
"2015-09-28","46.950001"
"2015-09-29","47.529999"
"2015-09-30","49.520000"
"2015-10-01","48.439999"
"2015-10-02","48.770000"
"2015-10-05","50.130001"
"2015-10-06","50.459999"
"2015-10-07","51.040001"
"2015-10-08","51.520000"
"2015-10-09","50.869999"
"2015-10-12","51.340000"
"2015-10-13","50.910000"
"2015-10-14","52.650002"
"2015-10-15","52.430000"
"2015-10-16","52.570000"
"2015-10-19","52.639999"
"2015-10-20","52.430000"
"2015-10-21","51.900002"
"2015-10-22","58.090000"
"2015-10-23","58.980000"
"2015-10-26","58.810001"
"2015-10-27","58.419998"
"2015-10-28","58.669998"
"2015-10-29","56.570000"
"2015-10-30","56.720001"
"2015-11-02","56.990002"
"2015-11-03","57.150002"
"2015-11-04","56.950001"
"2015-11-05","57.400002"
"2015-11-06","57.630001"
"2015-11-09","57.209999"
"2015-11-10","57.029999"
"2015-11-11","57.599998"
"2015-11-12","56.669998"
"2015-11-13","56.130001"
"2015-11-16","56.880001"
"2015-11-17","57.070000"
"2015-11-18","57.959999"
"2015-11-19","57.950001"
"2015-11-20","58.119999"
"2015-11-23","57.349998"
"2015-11-24","57.849998"
"2015-11-25","57.270000"
"2015-11-27","57.549999"
"2015-11-30","58.119999"
"2015-12-01","58.310001"
"2015-12-02","57.549999"
"2015-12-03","57.689999"
"2015-12-04","58.880001"
"2015-12-07","58.349998"
"2015-12-08","57.669998"
"2015-12-09","56.759998"
"2015-12-10","56.930000"
"2015-12-11","56.209999"
"2015-12-14","56.220001"
"2015-12-15","57.549999"
"2015-12-16","58.070000"
"2015-12-17","56.529999"
"2015-12-18","54.939999"
"2015-12-21","55.820000"
"2015-12-22","55.610001"
"2015-12-23","56.700001"
"2015-12-24","56.750000"
"2015-12-28","56.419998"
"2015-12-29","57.020000"
"2015-12-30","56.160000"
