"date, price"
"2014-12-04","9.640000"
"2014-12-05","9.810000"
"2014-12-08","9.750000"
"2014-12-09","9.840000"
"2014-12-10","9.590000"
"2014-12-11","9.430000"
"2014-12-12","9.330000"
"2014-12-15","9.330000"
"2014-12-16","9.490000"
"2014-12-17","9.690000"
"2014-12-18","9.730000"
"2014-12-19","9.670000"
"2014-12-22","9.690000"
"2014-12-23","9.790000"
"2014-12-24","9.740000"
"2014-12-26","9.790000"
"2014-12-29","9.910000"
"2014-12-30","9.860000"
"2014-12-31","9.710000"
"2015-01-02","9.630000"
"2015-01-05","9.410000"
"2015-01-06","9.240000"
"2015-01-07","9.300000"
"2015-01-08","9.510000"
"2015-01-09","9.350000"
"2015-01-12","9.250000"
"2015-01-13","9.220000"
"2015-01-14","9.170000"
"2015-01-15","9.060000"
"2015-01-16","9.200000"
"2015-01-20","9.120000"
"2015-01-21","9.050000"
"2015-01-22","9.410000"
"2015-01-23","9.290000"
"2015-01-26","9.400000"
"2015-01-27","9.330000"
"2015-01-28","9.190000"
"2015-01-29","9.150000"
"2015-01-30","9.080000"
"2015-02-02","9.230000"
"2015-02-03","9.400000"
"2015-02-04","9.330000"
"2015-02-05","9.500000"
"2015-02-06","9.660000"
"2015-02-09","9.560000"
"2015-02-10","9.600000"
"2015-02-11","9.540000"
"2015-02-12","9.710000"
"2015-02-13","9.700000"
"2015-02-17","9.770000"
"2015-02-18","9.600000"
"2015-02-19","9.520000"
"2015-02-20","9.620000"
"2015-02-23","9.580000"
"2015-02-24","9.600000"
"2015-02-25","9.590000"
"2015-02-26","9.620000"
"2015-02-27","9.600000"
"2015-03-02","9.670000"
"2015-03-03","9.670000"
"2015-03-04","9.610000"
"2015-03-05","9.590000"
"2015-03-06","9.670000"
"2015-03-09","9.720000"
"2015-03-10","9.530000"
"2015-03-11","9.490000"
"2015-03-12","9.710000"
"2015-03-13","9.670000"
"2015-03-16","9.560000"
"2015-03-17","9.570000"
"2015-03-18","9.510000"
"2015-03-19","9.460000"
"2015-03-20","9.600000"
"2015-03-23","9.550000"
"2015-03-24","9.480000"
"2015-03-25","9.340000"
"2015-03-26","9.390000"
"2015-03-27","9.360000"
"2015-03-30","9.480000"
"2015-03-31","9.440000"
"2015-04-01","9.460000"
"2015-04-02","9.500000"
"2015-04-06","9.490000"
"2015-04-07","9.460000"
"2015-04-08","9.420000"
"2015-04-09","9.360000"
"2015-04-10","9.400000"
"2015-04-13","9.450000"
"2015-04-14","9.400000"
"2015-04-15","9.500000"
"2015-04-16","9.520000"
"2015-04-17","9.380000"
"2015-04-20","9.470000"
"2015-04-21","9.450000"
"2015-04-22","9.490000"
"2015-04-23","9.460000"
"2015-04-24","9.400000"
"2015-04-27","9.330000"
"2015-04-28","9.440000"
"2015-04-29","9.570000"
"2015-04-30","9.430000"
"2015-05-01","9.380000"
"2015-05-04","9.470000"
"2015-05-05","9.380000"
"2015-05-06","9.450000"
"2015-05-07","9.430000"
"2015-05-08","9.480000"
"2015-05-11","9.560000"
"2015-05-12","9.600000"
"2015-05-13","9.660000"
"2015-05-14","9.840000"
"2015-05-15","9.670000"
"2015-05-18","9.780000"
"2015-05-19","9.850000"
"2015-05-20","9.770000"
"2015-05-21","9.790000"
"2015-05-22","9.750000"
"2015-05-26","9.670000"
"2015-05-27","9.710000"
"2015-05-28","9.780000"
"2015-05-29","9.780000"
"2015-06-01","9.710000"
"2015-06-02","9.830000"
"2015-06-03","9.940000"
"2015-06-04","9.870000"
"2015-06-05","9.980000"
"2015-06-08","10.020000"
"2015-06-09","10.080000"
"2015-06-10","10.220000"
"2015-06-11","10.110000"
"2015-06-12","10.100000"
"2015-06-15","10.070000"
"2015-06-16","10.170000"
"2015-06-17","10.030000"
"2015-06-18","10.110000"
"2015-06-19","10.080000"
"2015-06-22","10.220000"
"2015-06-23","10.410000"
"2015-06-24","10.390000"
"2015-06-25","10.370000"
"2015-06-26","10.430000"
"2015-06-29","10.200000"
"2015-06-30","10.310000"
"2015-07-01","10.480000"
"2015-07-02","10.330000"
"2015-07-06","10.360000"
"2015-07-07","10.200000"
"2015-07-08","10.170000"
"2015-07-09","10.240000"
"2015-07-10","10.350000"
"2015-07-13","10.290000"
"2015-07-14","10.300000"
"2015-07-15","10.340000"
"2015-07-16","10.370000"
"2015-07-17","10.290000"
"2015-07-20","10.350000"
"2015-07-21","10.290000"
"2015-07-22","10.360000"
"2015-07-23","10.270000"
"2015-07-24","10.140000"
"2015-07-27","10.080000"
"2015-07-28","10.100000"
"2015-07-29","10.100000"
"2015-07-30","9.920000"
"2015-07-31","9.920000"
"2015-08-03","9.950000"
"2015-08-04","10.010000"
"2015-08-05","10.070000"
"2015-08-06","10.030000"
"2015-08-07","9.960000"
"2015-08-10","10.070000"
"2015-08-11","9.930000"
"2015-08-12","9.800000"
"2015-08-13","9.830000"
"2015-08-14","9.940000"
"2015-08-17","9.940000"
"2015-08-18","9.900000"
"2015-08-19","9.790000"
"2015-08-20","9.650000"
"2015-08-21","9.570000"
"2015-08-24","9.170000"
"2015-08-25","9.050000"
"2015-08-26","9.290000"
"2015-08-27","9.390000"
"2015-08-28","9.400000"
"2015-08-31","9.460000"
"2015-09-01","9.130000"
"2015-09-02","9.240000"
"2015-09-03","9.320000"
"2015-09-04","9.270000"
"2015-09-08","9.510000"
"2015-09-09","9.440000"
"2015-09-10","9.530000"
