"date, price"
"2014-12-04","7.573333"
"2014-12-05","8.020000"
"2014-12-08","7.576667"
"2014-12-09","7.776667"
"2014-12-10","7.850000"
"2014-12-11","7.853333"
"2014-12-12","8.350000"
"2014-12-15","8.376667"
"2014-12-16","8.346667"
"2014-12-17","8.620000"
"2014-12-18","9.286667"
"2014-12-19","10.056667"
"2014-12-22","10.323333"
"2014-12-23","10.313333"
"2014-12-24","10.683333"
"2014-12-26","10.666667"
"2014-12-29","10.460000"
"2014-12-30","10.653333"
"2014-12-31","10.943333"
"2015-01-02","11.033333"
"2015-01-05","10.580000"
"2015-01-06","9.986667"
"2015-01-07","10.703333"
"2015-01-08","11.316667"
"2015-01-09","11.536667"
"2015-01-12","11.786667"
"2015-01-13","11.706667"
"2015-01-14","11.386667"
"2015-01-15","10.526667"
"2015-01-16","11.193333"
"2015-01-20","11.420000"
"2015-01-21","10.750000"
"2015-01-22","11.286667"
"2015-01-23","11.446667"
"2015-01-26","11.543333"
"2015-01-27","11.323333"
"2015-01-28","10.916667"
"2015-01-29","11.433333"
"2015-01-30","10.990000"
"2015-02-02","10.946667"
"2015-02-03","11.250000"
"2015-02-04","11.413333"
"2015-02-05","11.850000"
"2015-02-06","11.633333"
"2015-02-09","11.613333"
"2015-02-10","12.016667"
"2015-02-11","11.756667"
"2015-02-12","12.246667"
"2015-02-13","12.446667"
"2015-02-17","12.483333"
"2015-02-18","10.133333"
"2015-02-19","10.303333"
"2015-02-20","9.960000"
"2015-02-23","9.960000"
"2015-02-24","10.166667"
"2015-02-25","10.380000"
"2015-02-26","10.326667"
"2015-02-27","10.296667"
"2015-03-02","10.500000"
"2015-03-03","10.386667"
"2015-03-04","10.106667"
"2015-03-05","10.166667"
"2015-03-06","10.083333"
"2015-03-09","10.116667"
"2015-03-10","9.866667"
"2015-03-11","10.143333"
"2015-03-12","10.173333"
"2015-03-13","9.920000"
"2015-03-16","9.936667"
"2015-03-17","9.840000"
"2015-03-18","9.960000"
"2015-03-19","9.910000"
"2015-03-20","9.973333"
"2015-03-23","9.993333"
"2015-03-24","9.870000"
"2015-03-25","9.130000"
"2015-03-26","9.283333"
"2015-03-27","9.080000"
"2015-03-30","8.983333"
"2015-03-31","8.553333"
"2015-04-01","8.233333"
"2015-04-02","8.246667"
"2015-04-06","8.223333"
"2015-04-07","8.451667"
"2015-04-08","8.723333"
"2015-04-09","8.933333"
"2015-04-10","9.170000"
"2015-04-13","9.076667"
"2015-04-14","8.773333"
"2015-04-15","9.276667"
"2015-04-16","8.913333"
"2015-04-17","8.563333"
"2015-04-20","8.900000"
"2015-04-21","9.203333"
"2015-04-22","9.143333"
"2015-04-23","9.440000"
"2015-04-24","9.420000"
"2015-04-27","9.510000"
"2015-04-28","9.680000"
"2015-04-29","9.756667"
"2015-04-30","9.583333"
"2015-05-01","9.726667"
"2015-05-04","9.690000"
"2015-05-05","9.150000"
"2015-05-06","8.893333"
"2015-05-07","6.690000"
"2015-05-08","6.623333"
"2015-05-11","6.503333"
"2015-05-12","6.433333"
"2015-05-13","6.423333"
"2015-05-14","6.573333"
