"date, price"
"2014-12-04","17.139999"
"2014-12-05","17.080000"
"2014-12-08","16.580000"
"2014-12-09","16.139999"
"2014-12-10","16.000000"
"2014-12-11","15.800000"
"2014-12-12","16.030001"
"2014-12-15","15.580000"
"2014-12-16","14.570000"
"2014-12-17","14.240000"
"2014-12-18","15.280000"
"2014-12-19","15.780000"
"2014-12-22","15.260000"
"2014-12-23","14.780000"
"2014-12-24","14.750000"
"2014-12-26","14.810000"
"2014-12-29","14.500000"
"2014-12-30","14.340000"
"2014-12-31","14.240000"
"2015-01-02","14.530000"
"2015-01-05","14.460000"
"2015-01-06","14.540000"
"2015-01-07","14.290000"
"2015-01-08","14.310000"
"2015-01-09","14.130000"
"2015-01-12","13.730000"
"2015-01-13","13.220000"
"2015-01-14","13.020000"
"2015-01-15","12.500000"
"2015-01-16","12.740000"
"2015-01-20","12.970000"
"2015-01-21","13.110000"
"2015-01-22","13.130000"
"2015-01-23","13.250000"
"2015-01-26","13.050000"
"2015-01-27","12.890000"
"2015-01-28","12.510000"
"2015-01-29","12.660000"
"2015-01-30","12.440000"
"2015-02-02","12.480000"
"2015-02-03","12.620000"
"2015-02-04","12.840000"
"2015-02-05","12.410000"
"2015-02-06","12.490000"
"2015-02-09","12.430000"
"2015-02-10","12.610000"
"2015-02-11","13.050000"
"2015-02-12","13.470000"
"2015-02-13","13.300000"
"2015-02-17","13.450000"
"2015-02-18","14.190000"
"2015-02-19","13.980000"
"2015-02-20","13.760000"
"2015-02-23","13.110000"
"2015-02-24","13.310000"
"2015-02-25","13.270000"
"2015-02-26","13.260000"
"2015-02-27","13.340000"
"2015-03-02","13.420000"
"2015-03-03","13.660000"
"2015-03-04","13.850000"
"2015-03-05","14.630000"
"2015-03-06","14.620000"
"2015-03-09","14.550000"
"2015-03-10","14.880000"
"2015-03-11","15.020000"
"2015-03-12","14.870000"
"2015-03-13","14.180000"
"2015-03-16","14.160000"
"2015-03-17","13.550000"
"2015-03-18","13.470000"
"2015-03-19","13.520000"
"2015-03-20","13.510000"
"2015-03-23","13.930000"
"2015-03-24","13.790000"
"2015-03-25","13.410000"
"2015-03-26","13.200000"
"2015-03-27","12.930000"
"2015-03-30","12.830000"
"2015-03-31","12.890000"
"2015-04-01","12.980000"
"2015-04-02","13.330000"
"2015-04-06","13.200000"
"2015-04-07","13.520000"
"2015-04-08","15.300000"
"2015-04-09","15.090000"
"2015-04-10","14.880000"
"2015-04-13","14.300000"
"2015-04-14","14.500000"
"2015-04-15","15.050000"
"2015-04-16","14.960000"
"2015-04-17","14.780000"
"2015-04-20","14.530000"
"2015-04-21","14.530000"
"2015-04-22","16.090000"
"2015-04-23","15.890000"
"2015-04-24","17.200001"
"2015-04-27","17.260000"
"2015-04-28","16.660000"
"2015-04-29","16.900000"
"2015-04-30","16.680000"
"2015-05-01","16.620001"
"2015-05-04","16.860001"
"2015-05-05","16.590000"
"2015-05-06","16.570000"
"2015-05-07","16.709999"
"2015-05-08","16.620001"
"2015-05-11","17.090000"
"2015-05-12","16.969999"
"2015-05-13","16.790001"
"2015-05-14","17.070000"
"2015-05-15","16.600000"
"2015-05-18","15.660000"
"2015-05-19","15.140000"
"2015-05-20","15.320000"
"2015-05-21","15.550000"
"2015-05-22","16.230000"
"2015-05-26","15.670000"
"2015-05-27","15.950000"
"2015-05-28","16.010000"
"2015-05-29","15.850000"
"2015-06-01","16.879999"
"2015-06-02","17.600000"
"2015-06-03","19.160000"
"2015-06-04","18.510000"
"2015-06-05","19.760000"
"2015-06-08","19.770000"
"2015-06-09","19.290001"
"2015-06-10","19.440001"
"2015-06-11","20.080000"
"2015-06-12","20.299999"
"2015-06-15","19.559999"
"2015-06-16","18.809999"
"2015-06-17","20.059999"
"2015-06-18","19.260000"
"2015-06-19","18.940001"
"2015-06-22","18.690001"
"2015-06-23","19.540001"
"2015-06-24","19.030001"
"2015-06-25","18.719999"
"2015-06-26","17.730000"
"2015-06-29","16.950001"
"2015-06-30","17.139999"
"2015-07-01","16.780001"
"2015-07-02","16.760000"
"2015-07-06","14.180000"
"2015-07-07","13.400000"
"2015-07-08","13.450000"
"2015-07-09","15.300000"
"2015-07-10","15.460000"
"2015-07-13","15.090000"
"2015-07-14","14.940000"
"2015-07-15","14.060000"
"2015-07-16","14.300000"
"2015-07-17","14.540000"
"2015-07-20","14.520000"
"2015-07-21","14.790000"
"2015-07-22","14.600000"
"2015-07-23","14.920000"
"2015-07-24","14.480000"
"2015-07-27","13.870000"
"2015-07-28","14.090000"
"2015-07-29","14.190000"
"2015-07-30","13.760000"
"2015-07-31","14.030000"
"2015-08-03","13.690000"
"2015-08-04","14.120000"
"2015-08-05","13.870000"
"2015-08-06","14.130000"
"2015-08-07","13.810000"
"2015-08-10","14.570000"
"2015-08-11","13.800000"
"2015-08-12","13.250000"
"2015-08-13","13.250000"
"2015-08-14","13.600000"
"2015-08-17","13.090000"
"2015-08-18","13.440000"
"2015-08-19","13.390000"
"2015-08-20","12.610000"
"2015-08-21","12.160000"
"2015-08-24","9.670000"
"2015-08-25","10.660000"
"2015-08-26","11.000000"
"2015-08-27","11.890000"
"2015-08-28","12.310000"
"2015-08-31","12.130000"
"2015-09-01","12.330000"
"2015-09-02","12.510000"
"2015-09-03","12.460000"
"2015-09-04","11.870000"
"2015-09-08","12.000000"
"2015-09-09","11.810000"
"2015-09-10","11.570000"
"2015-09-11","11.730000"
"2015-09-14","11.300000"
"2015-09-15","11.360000"
"2015-09-16","12.050000"
"2015-09-17","12.050000"
"2015-09-18","12.090000"
"2015-09-21","11.810000"
"2015-09-22","11.740000"
"2015-09-23","11.160000"
"2015-09-24","11.520000"
"2015-09-25","11.440000"
"2015-09-28","11.340000"
"2015-09-29","11.240000"
"2015-09-30","11.690000"
"2015-10-01","11.490000"
"2015-10-02","12.880000"
"2015-10-05","13.020000"
"2015-10-06","13.050000"
"2015-10-07","13.450000"
"2015-10-08","13.390000"
"2015-10-09","13.390000"
"2015-10-12","13.260000"
"2015-10-13","13.520000"
"2015-10-14","13.080000"
"2015-10-15","13.730000"
"2015-10-16","15.570000"
"2015-10-19","15.790000"
"2015-10-20","15.910000"
"2015-10-21","15.710000"
"2015-10-22","16.370001"
"2015-10-23","16.650000"
"2015-10-26","17.020000"
"2015-10-27","17.000000"
"2015-10-28","17.250000"
"2015-10-29","16.150000"
"2015-10-30","16.120001"
"2015-11-02","16.770000"
"2015-11-03","17.240000"
"2015-11-04","17.510000"
"2015-11-05","17.660000"
"2015-11-06","17.809999"
"2015-11-09","17.820000"
"2015-11-10","17.600000"
"2015-11-11","17.520000"
"2015-11-12","17.959999"
"2015-11-13","16.540001"
"2015-11-16","16.980000"
"2015-11-17","17.090000"
"2015-11-18","17.670000"
"2015-11-19","18.020000"
"2015-11-20","17.840000"
"2015-11-23","17.959999"
"2015-11-24","17.840000"
"2015-11-25","18.510000"
"2015-11-27","17.870001"
"2015-11-30","18.600000"
"2015-12-01","18.639999"
"2015-12-02","18.690001"
"2015-12-03","18.459999"
"2015-12-04","18.709999"
"2015-12-07","18.840000"
"2015-12-08","18.780001"
"2015-12-09","18.700001"
"2015-12-10","18.450001"
"2015-12-11","18.250000"
"2015-12-14","18.330000"
"2015-12-15","18.549999"
"2015-12-16","18.900000"
"2015-12-17","19.820000"
"2015-12-18","19.320000"
"2015-12-21","19.700001"
"2015-12-22","20.180000"
"2015-12-23","20.410000"
"2015-12-24","19.990000"
"2015-12-28","19.900000"
"2015-12-29","19.889999"
"2015-12-30","19.480000"
"2015-12-31","19.500000"
"2016-01-04","18.860001"
"2016-01-05","19.270000"
"2016-01-06","18.940001"
"2016-01-07","17.049999"
"2016-01-08","17.420000"
"2016-01-11","16.650000"
"2016-01-12","16.990000"
"2016-01-13","16.459999"
"2016-01-14","16.790001"
