"date, price"
"2020-06-03","30.120001"
"2020-06-04","30.000000"
"2020-06-05","29.940001"
"2020-06-08","31.000000"
"2020-06-09","32.000000"
"2020-06-10","31.049999"
"2020-06-11","29.990000"
"2020-06-12","30.770000"
"2020-06-15","32.090000"
"2020-06-16","31.980000"
"2020-06-17","32.560001"
"2020-06-18","32.720001"
"2020-06-19","32.860001"
"2020-06-22","31.990000"
"2020-06-23","31.350000"
"2020-06-24","31.330000"
"2020-06-25","30.600000"
"2020-06-26","30.469999"
"2020-06-29","31.430000"
"2020-06-30","29.500000"
"2020-07-01","29.450001"
"2020-07-02","29.350000"
"2020-07-06","29.790001"
"2020-07-07","29.639999"
"2020-07-08","29.980000"
"2020-07-09","30.000000"
"2020-07-10","30.879999"
"2020-07-13","30.090000"
"2020-07-14","29.639999"
"2020-07-15","29.629999"
"2020-07-16","29.690001"
"2020-07-17","29.420000"
"2020-07-20","28.950001"
"2020-07-21","28.495001"
"2020-07-22","27.820000"
"2020-07-23","28.330000"
"2020-07-24","28.340000"
"2020-07-27","28.650000"
"2020-07-28","29.520000"
"2020-07-29","30.010000"
"2020-07-30","29.910000"
"2020-07-31","30.150000"
"2020-08-03","29.940001"
"2020-08-04","28.950001"
"2020-08-05","28.639999"
"2020-08-06","28.870001"
"2020-08-07","28.510000"
"2020-08-10","29.160000"
"2020-08-11","28.514999"
"2020-08-12","29.450001"
"2020-08-13","29.639999"
"2020-08-14","30.299999"
"2020-08-17","31.020000"
"2020-08-18","30.620001"
"2020-08-19","30.530001"
"2020-08-20","30.379999"
"2020-08-21","30.059999"
"2020-08-24","30.100000"
"2020-08-25","29.465000"
"2020-08-26","29.420000"
"2020-08-27","28.840000"
"2020-08-28","29.459999"
"2020-08-31","29.660000"
"2020-09-01","29.879999"
"2020-09-02","29.030001"
"2020-09-03","28.600000"
"2020-09-04","29.090000"
"2020-09-08","28.450001"
"2020-09-09","28.660000"
"2020-09-10","28.510000"
"2020-09-11","29.010000"
"2020-09-14","28.820000"
"2020-09-15","28.200001"
"2020-09-16","28.530001"
"2020-09-17","27.639999"
"2020-09-18","28.480000"
"2020-09-21","27.830000"
"2020-09-22","28.230000"
"2020-09-23","27.950001"
"2020-09-24","28.150000"
"2020-09-25","27.010000"
"2020-09-28","28.010000"
"2020-09-29","28.209999"
"2020-09-30","28.740000"
"2020-10-01","28.170000"
"2020-10-02","27.990000"
"2020-10-05","28.330000"
"2020-10-06","27.820000"
"2020-10-07","28.000000"
"2020-10-08","27.780001"
"2020-10-09","27.930000"
"2020-10-12","28.320000"
"2020-10-13","29.150000"
"2020-10-14","28.900000"
"2020-10-15","29.670000"
"2020-10-16","29.309999"
"2020-10-19","29.260000"
"2020-10-20","29.110001"
"2020-10-21","28.639999"
"2020-10-22","29.270000"
"2020-10-23","29.500000"
"2020-10-26","28.360001"
"2020-10-27","27.879999"
"2020-10-28","27.129999"
"2020-10-29","27.290001"
"2020-10-30","26.530001"
"2020-11-02","26.240000"
"2020-11-03","26.650000"
"2020-11-04","27.570000"
"2020-11-05","27.070000"
"2020-11-06","27.010000"
"2020-11-09","28.700001"
"2020-11-10","29.250000"
"2020-11-11","29.290001"
"2020-11-12","28.540001"
"2020-11-13","29.350000"
"2020-11-16","29.850000"
"2020-11-17","29.760000"
"2020-11-18","29.389999"
"2020-11-19","29.230000"
"2020-11-20","29.080000"
