"date, price"
"2014-12-04","34.810001"
"2014-12-05","34.529999"
"2014-12-08","34.889999"
"2014-12-09","35.020000"
"2014-12-10","34.669998"
"2014-12-11","34.990002"
"2014-12-12","34.630001"
"2014-12-15","34.250000"
"2014-12-16","34.220001"
"2014-12-17","34.750000"
"2014-12-18","35.349998"
"2014-12-19","35.400002"
"2014-12-22","35.650002"
"2014-12-23","35.430000"
"2014-12-24","36.230000"
"2014-12-26","36.580002"
"2014-12-29","37.250000"
"2014-12-30","36.380001"
"2014-12-31","35.919998"
"2015-01-02","36.119999"
"2015-01-05","35.709999"
"2015-01-06","35.900002"
"2015-01-07","36.209999"
"2015-01-08","36.630001"
"2015-01-09","36.180000"
"2015-01-12","35.860001"
"2015-01-13","36.150002"
"2015-01-14","36.470001"
"2015-01-15","36.790001"
"2015-01-16","37.020000"
"2015-01-20","37.270000"
"2015-01-21","37.580002"
"2015-01-22","37.520000"
"2015-01-23","37.759998"
"2015-01-26","37.660000"
"2015-01-27","37.730000"
"2015-01-28","37.450001"
"2015-01-29","38.110001"
"2015-01-30","37.529999"
"2015-02-02","37.570000"
"2015-02-03","37.639999"
"2015-02-04","37.200001"
"2015-02-05","37.560001"
"2015-02-06","35.709999"
"2015-02-09","35.340000"
"2015-02-10","36.250000"
"2015-02-11","35.549999"
"2015-02-12","35.529999"
"2015-02-13","35.000000"
"2015-02-17","35.189999"
"2015-02-18","36.299999"
"2015-02-19","36.220001"
"2015-02-20","35.919998"
"2015-02-23","36.380001"
"2015-02-24","36.349998"
"2015-02-25","35.619999"
"2015-02-26","35.419998"
"2015-02-27","35.279999"
"2015-03-02","34.410000"
"2015-03-03","34.689999"
"2015-03-04","34.580002"
"2015-03-05","34.930000"
"2015-03-06","33.650002"
"2015-03-09","34.080002"
"2015-03-10","34.160000"
"2015-03-11","33.849998"
"2015-03-12","34.450001"
"2015-03-13","33.740002"
"2015-03-16","34.220001"
"2015-03-17","34.130001"
"2015-03-18","34.959999"
"2015-03-19","34.480000"
"2015-03-20","34.779999"
"2015-03-23","35.000000"
"2015-03-24","34.709999"
"2015-03-25","34.419998"
"2015-03-26","34.299999"
"2015-03-27","34.389999"
"2015-03-30","34.740002"
"2015-03-31","34.810001"
"2015-04-01","34.869999"
"2015-04-02","34.759998"
"2015-04-06","35.049999"
"2015-04-07","34.509998"
"2015-04-08","34.430000"
"2015-04-09","34.320000"
"2015-04-10","34.669998"
"2015-04-13","34.270000"
"2015-04-14","34.470001"
"2015-04-15","34.490002"
"2015-04-16","34.299999"
"2015-04-17","34.369999"
"2015-04-20","34.770000"
"2015-04-21","34.279999"
"2015-04-22","34.310001"
"2015-04-23","34.520000"
"2015-04-24","34.869999"
"2015-04-27","34.410000"
"2015-04-28","34.709999"
"2015-04-29","34.520000"
"2015-04-30","33.910000"
"2015-05-01","33.959999"
"2015-05-04","34.360001"
"2015-05-05","33.650002"
"2015-05-06","33.509998"
"2015-05-07","33.480000"
"2015-05-08","33.619999"
"2015-05-11","33.419998"
"2015-05-12","33.209999"
"2015-05-13","32.849998"
"2015-05-14","33.480000"
"2015-05-15","33.750000"
"2015-05-18","34.160000"
"2015-05-19","34.369999"
"2015-05-20","34.619999"
"2015-05-21","34.509998"
"2015-05-22","34.459999"
"2015-05-26","33.990002"
"2015-05-27","34.099998"
"2015-05-28","34.130001"
"2015-05-29","34.049999"
"2015-06-01","34.070000"
"2015-06-02","33.400002"
"2015-06-03","32.840000"
"2015-06-04","32.770000"
"2015-06-05","32.349998"
"2015-06-08","32.330002"
"2015-06-09","32.360001"
"2015-06-10","32.360001"
"2015-06-11","32.810001"
"2015-06-12","32.700001"
"2015-06-15","32.500000"
"2015-06-16","32.380001"
"2015-06-17","32.570000"
"2015-06-18","33.049999"
"2015-06-19","32.770000"
"2015-06-22","32.700001"
"2015-06-23","32.230000"
"2015-06-24","31.990000"
"2015-06-25","31.920000"
"2015-06-26","32.240002"
"2015-06-29","32.169998"
"2015-06-30","32.180000"
"2015-07-01","32.500000"
"2015-07-02","32.820000"
"2015-07-06","32.939999"
"2015-07-07","33.889999"
"2015-07-08","33.709999"
"2015-07-09","33.330002"
"2015-07-10","33.549999"
"2015-07-13","33.540001"
"2015-07-14","33.540001"
"2015-07-15","33.619999"
"2015-07-16","34.119999"
"2015-07-17","33.700001"
"2015-07-20","33.480000"
"2015-07-21","33.150002"
"2015-07-22","33.400002"
"2015-07-23","32.910000"
"2015-07-24","32.860001"
"2015-07-27","33.340000"
"2015-07-28","33.590000"
"2015-07-29","33.730000"
"2015-07-30","34.209999"
"2015-07-31","34.669998"
"2015-08-03","34.529999"
"2015-08-04","34.150002"
"2015-08-05","34.419998"
"2015-08-06","34.830002"
"2015-08-07","35.250000"
"2015-08-10","34.939999"
"2015-08-11","35.369999"
"2015-08-12","35.720001"
"2015-08-13","35.560001"
"2015-08-14","35.799999"
"2015-08-17","35.990002"
"2015-08-18","35.910000"
"2015-08-19","36.320000"
"2015-08-20","36.009998"
"2015-08-21","35.560001"
"2015-08-24","34.099998"
"2015-08-25","33.080002"
"2015-08-26","33.540001"
"2015-08-27","34.000000"
"2015-08-28","33.950001"
"2015-08-31","33.730000"
"2015-09-01","32.980000"
"2015-09-02","33.099998"
"2015-09-03","33.290001"
"2015-09-04","32.630001"
"2015-09-08","33.080002"
"2015-09-09","32.560001"
"2015-09-10","32.709999"
"2015-09-11","33.160000"
"2015-09-14","33.160000"
"2015-09-15","33.110001"
"2015-09-16","33.360001"
"2015-09-17","33.840000"
"2015-09-18","33.630001"
"2015-09-21","34.110001"
"2015-09-22","33.919998"
"2015-09-23","34.110001"
"2015-09-24","34.400002"
"2015-09-25","34.910000"
"2015-09-28","34.639999"
"2015-09-29","34.700001"
"2015-09-30","35.410000"
"2015-10-01","35.009998"
"2015-10-02","35.330002"
"2015-10-05","35.509998"
"2015-10-06","35.040001"
"2015-10-07","35.029999"
"2015-10-08","35.509998"
"2015-10-09","35.259998"
"2015-10-12","35.840000"
"2015-10-13","35.889999"
"2015-10-14","35.990002"
"2015-10-15","36.349998"
"2015-10-16","36.430000"
"2015-10-19","36.259998"
"2015-10-20","36.630001"
"2015-10-21","36.580002"
"2015-10-22","37.139999"
"2015-10-23","36.439999"
"2015-10-26","36.779999"
"2015-10-27","36.720001"
"2015-10-28","36.040001"
"2015-10-29","35.540001"
"2015-10-30","35.630001"
"2015-11-02","35.849998"
"2015-11-03","35.889999"
"2015-11-04","36.029999"
"2015-11-05","36.110001"
"2015-11-06","34.860001"
"2015-11-09","35.009998"
"2015-11-10","35.580002"
"2015-11-11","36.049999"
"2015-11-12","35.310001"
"2015-11-13","35.009998"
"2015-11-16","35.590000"
"2015-11-17","35.220001"
"2015-11-18","35.619999"
"2015-11-19","35.720001"
"2015-11-20","35.860001"
"2015-11-23","35.570000"
"2015-11-24","35.730000"
"2015-11-25","35.500000"
"2015-11-27","35.639999"
"2015-11-30","35.660000"
"2015-12-01","35.970001"
"2015-12-02","35.220001"
"2015-12-03","34.419998"
"2015-12-04","34.970001"
"2015-12-07","35.270000"
"2015-12-08","35.209999"
"2015-12-09","35.279999"
"2015-12-10","34.790001"
"2015-12-11","34.939999"
"2015-12-14","35.290001"
"2015-12-15","35.570000"
"2015-12-16","36.419998"
"2015-12-17","36.400002"
"2015-12-18","35.599998"
"2015-12-21","35.410000"
"2015-12-22","35.330002"
"2015-12-23","35.849998"
"2015-12-24","35.740002"
"2015-12-28","36.139999"
"2015-12-29","36.220001"
"2015-12-30","36.400002"
"2015-12-31","35.910000"
"2016-01-04","35.700001"
"2016-01-05","36.060001"
"2016-01-06","36.439999"
"2016-01-07","36.580002"
"2016-01-08","36.180000"
"2016-01-11","36.470001"
"2016-01-12","36.330002"
"2016-01-13","36.110001"
"2016-01-14","36.709999"
"2016-01-15","36.500000"
"2016-01-19","37.209999"
"2016-01-20","36.619999"
"2016-01-21","36.130001"
"2016-01-22","36.630001"
"2016-01-25","36.529999"
"2016-01-26","36.770000"
"2016-01-27","36.680000"
"2016-01-28","37.570000"
"2016-01-29","38.220001"
"2016-02-01","38.560001"
"2016-02-02","38.980000"
"2016-02-03","39.250000"
"2016-02-04","39.070000"
"2016-02-05","39.529999"
"2016-02-08","39.250000"
"2016-02-09","39.619999"
"2016-02-10","39.349998"
"2016-02-11","38.990002"
"2016-02-12","38.820000"
"2016-02-16","38.830002"
"2016-02-17","38.939999"
"2016-02-18","39.639999"
"2016-02-19","39.330002"
"2016-02-22","39.669998"
"2016-02-23","39.830002"
"2016-02-24","39.910000"
"2016-02-25","40.200001"
"2016-02-26","39.270000"
"2016-02-29","39.540001"
"2016-03-01","39.459999"
"2016-03-02","39.590000"
"2016-03-03","39.599998"
"2016-03-04","39.939999"
"2016-03-07","40.060001"
"2016-03-08","40.660000"
"2016-03-09","40.720001"
"2016-03-10","40.740002"
"2016-03-11","40.380001"
"2016-03-14","40.419998"
"2016-03-15","40.500000"
"2016-03-16","40.919998"
"2016-03-17","41.500000"
"2016-03-18","41.060001"
"2016-03-21","41.049999"
"2016-03-22","40.770000"
"2016-03-23","41.119999"
"2016-03-24","41.230000"
"2016-03-28","41.160000"
"2016-03-29","41.660000"
"2016-03-30","41.560001"
"2016-03-31","41.820000"
