"date, price"
"2019-12-11","34.459999"
"2019-12-12","34.639999"
"2019-12-13","37.709999"
"2019-12-16","35.799999"
"2019-12-17","34.299999"
"2019-12-18","38.099998"
"2019-12-19","37.759998"
"2019-12-20","40.000000"
"2019-12-23","39.230000"
"2019-12-24","39.630001"
"2019-12-26","38.669998"
"2019-12-27","38.490002"
"2019-12-30","38.270000"
"2019-12-31","38.520000"
"2020-01-02","38.590000"
"2020-01-03","38.220001"
"2020-01-06","36.209999"
"2020-01-07","36.590000"
"2020-01-08","36.889999"
"2020-01-09","37.820000"
"2020-01-10","37.590000"
"2020-01-13","37.540001"
"2020-01-14","37.150002"
"2020-01-15","37.549999"
"2020-01-16","37.700001"
"2020-01-17","38.790001"
"2020-01-21","40.590000"
"2020-01-22","42.480000"
"2020-01-23","41.000000"
"2020-01-24","38.529999"
"2020-01-27","37.610001"
"2020-01-28","39.040001"
"2020-01-29","40.330002"
"2020-01-30","38.889999"
"2020-01-31","40.139999"
"2020-02-03","40.459999"
"2020-02-04","38.970001"
"2020-02-05","39.900002"
"2020-02-06","38.299999"
"2020-02-07","37.360001"
"2020-02-10","37.320000"
"2020-02-11","38.990002"
"2020-02-12","40.910000"
"2020-02-13","41.360001"
"2020-02-14","40.320000"
"2020-02-18","40.939999"
"2020-02-19","42.490002"
"2020-02-20","42.990002"
"2020-02-21","42.330002"
"2020-02-24","39.500000"
"2020-02-25","37.500000"
"2020-02-26","36.200001"
"2020-02-27","35.450001"
"2020-02-28","34.650002"
"2020-03-02","37.150002"
"2020-03-03","36.160000"
"2020-03-04","38.840000"
"2020-03-05","35.759998"
"2020-03-06","30.990000"
"2020-03-09","26.639999"
"2020-03-10","29.950001"
"2020-03-11","23.240000"
"2020-03-12","17.709999"
"2020-03-13","22.389999"
"2020-03-16","18.540001"
"2020-03-17","19.920000"
"2020-03-18","17.600000"
"2020-03-19","20.900000"
"2020-03-20","17.940001"
"2020-03-23","16.959999"
"2020-03-24","19.639999"
"2020-03-25","23.000000"
"2020-03-26","24.830000"
"2020-03-27","22.260000"
"2020-03-30","20.580000"
"2020-03-31","19.290001"
"2020-04-01","17.930000"
"2020-04-02","17.200001"
"2020-04-03","17.660000"
"2020-04-06","20.400000"
"2020-04-07","21.530001"
"2020-04-08","21.590000"
"2020-04-09","22.570000"
"2020-04-13","21.180000"
"2020-04-14","22.780001"
"2020-04-15","23.389999"
"2020-04-16","25.450001"
"2020-04-17","26.820000"
"2020-04-20","26.930000"
"2020-04-21","24.660000"
"2020-04-22","26.020000"
"2020-04-23","25.750000"
"2020-04-24","22.900000"
"2020-04-27","23.780001"
"2020-04-28","24.930000"
"2020-04-29","25.129999"
"2020-04-30","25.160000"
"2020-05-01","23.100000"
"2020-05-04","22.930000"
"2020-05-05","22.570000"
"2020-05-06","22.889999"
"2020-05-07","24.420000"
"2020-05-08","25.110001"
"2020-05-11","25.350000"
"2020-05-12","24.860001"
"2020-05-13","27.900000"
"2020-05-14","26.059999"
"2020-05-15","26.510000"
"2020-05-18","27.570000"
"2020-05-19","26.500000"
"2020-05-20","27.500000"
"2020-05-21","28.480000"
"2020-05-22","28.799999"
"2020-05-26","30.920000"
"2020-05-27","30.520000"
"2020-05-28","30.430000"
"2020-05-29","30.360001"
"2020-06-01","30.540001"
"2020-06-02","32.250000"
"2020-06-03","34.650002"
"2020-06-04","34.680000"
"2020-06-05","36.580002"
"2020-06-08","41.035000"
"2020-06-09","40.709999"
"2020-06-10","42.240002"
"2020-06-11","39.009998"
"2020-06-12","41.200001"
"2020-06-15","41.759998"
"2020-06-16","43.849998"
"2020-06-17","46.270000"
"2020-06-18","48.080002"
"2020-06-19","47.220001"
"2020-06-22","46.450001"
"2020-06-23","49.430000"
"2020-06-24","44.810001"
"2020-06-25","46.150002"
"2020-06-26","43.880001"
"2020-06-29","43.520000"
"2020-06-30","42.009998"
"2020-07-01","43.360001"
"2020-07-02","44.790001"
"2020-07-06","47.590000"
"2020-07-07","46.750000"
"2020-07-08","47.700001"
"2020-07-09","47.160000"
"2020-07-10","47.009998"
"2020-07-13","45.730000"
"2020-07-14","44.619999"
"2020-07-15","44.930000"
"2020-07-16","42.599998"
"2020-07-17","42.590000"
"2020-07-20","44.590000"
"2020-07-21","44.939999"
"2020-07-22","45.639999"
"2020-07-23","44.320000"
"2020-07-24","44.630001"
"2020-07-27","47.230000"
"2020-07-28","47.279999"
"2020-07-29","48.459999"
"2020-07-30","47.430000"
"2020-07-31","46.500000"
"2020-08-03","47.099998"
"2020-08-04","47.849998"
"2020-08-05","47.939999"
"2020-08-06","50.000000"
"2020-08-07","48.130001"
"2020-08-10","47.980000"
"2020-08-11","47.349998"
"2020-08-12","46.529999"
"2020-08-13","45.160000"
"2020-08-14","44.150002"
"2020-08-17","44.020000"
"2020-08-18","44.570000"
"2020-08-19","44.669998"
"2020-08-20","45.139999"
"2020-08-21","43.520000"
"2020-08-24","46.139999"
"2020-08-25","47.169998"
"2020-08-26","47.770000"
"2020-08-27","49.599998"
"2020-08-28","49.740002"
"2020-08-31","49.389999"
"2020-09-01","51.029999"
"2020-09-02","49.490002"
"2020-09-03","47.889999"
"2020-09-04","46.810001"
"2020-09-08","45.700001"
"2020-09-09","47.380001"
"2020-09-10","45.430000"
"2020-09-11","44.439999"
"2020-09-14","44.080002"
"2020-09-15","43.990002"
"2020-09-16","43.990002"
"2020-09-17","43.369999"
"2020-09-18","43.060001"
"2020-09-21","42.090000"
"2020-09-22","43.380001"
"2020-09-23","41.549999"
"2020-09-24","42.560001"
"2020-09-25","43.080002"
"2020-09-28","41.500000"
"2020-09-29","41.389999"
"2020-09-30","41.689999"
"2020-10-01","41.900002"
"2020-10-02","40.910000"
"2020-10-05","42.090000"
"2020-10-06","43.080002"
"2020-10-07","41.759998"
